Date,Open,High,Low,Close,Adj Close,Volume
4/9/2020,4.28,4.43,4.2,4.41,4.41,2273400
4/13/2020,4.46,4.52,4.24,4.36,4.36,1521600
4/14/2020,4.47,4.54,4.33,4.39,4.39,1973900
4/15/2020,4.35,4.43,4.18,4.35,4.35,1537000
4/16/2020,4.37,4.61,4.24,4.41,4.41,1487400
4/17/2020,4.56,4.6,4.38,4.58,4.58,1537800
4/20/2020,4.58,4.93,4.52,4.86,4.86,2762600
4/21/2020,4.86,4.9,4.51,4.69,4.69,2126800
4/22/2020,4.83,4.85,4.68,4.79,4.79,1222700
4/23/2020,4.79,5.02,4.72,4.87,4.87,2394000
4/24/2020,4.98,5.03,4.8,5.02,5.02,1575000
4/27/2020,5.11,5.15,4.9,4.9,4.9,2234600
4/28/2020,5.01,5.04,4.83,4.91,4.91,1514200
4/29/2020,4.95,4.96,4.74,4.81,4.81,2114300
4/30/2020,4.8,4.83,4.67,4.74,4.74,1818300
5/1/2020,4.62,4.69,4.38,4.6,4.6,1689500
5/4/2020,4.58,4.97,4.48,4.96,4.96,1711600
5/5/2020,4.99,5.03,4.76,4.85,4.85,1411300
5/6/2020,4.88,4.88,4.69,4.73,4.73,1083900
5/7/2020,4.79,4.86,4.62,4.84,4.84,1036200
5/8/2020,4.89,4.9,4.76,4.86,4.86,1046300
5/11/2020,4.93,5.12,4.83,5.05,5.05,2908100
5/12/2020,4.9,4.96,4.54,4.59,4.59,3532900
5/13/2020,4.63,4.7,4.06,4.39,4.39,2839800
5/14/2020,4.35,4.35,4.11,4.26,4.26,1852300
5/15/2020,4.21,4.56,4.17,4.55,4.55,1836800
5/18/2020,4.69,4.71,4.47,4.55,4.55,1884900
5/19/2020,4.53,4.54,4.29,4.3,4.3,1669000
5/20/2020,4.38,4.55,4.33,4.47,4.47,1612500
5/21/2020,4.51,4.54,4.38,4.4,4.4,1038400
5/22/2020,4.4,4.5,4.33,4.42,4.42,1008600
5/26/2020,4.52,4.55,4.38,4.4,4.4,1819500
5/27/2020,4.43,4.46,4.26,4.43,4.43,1914300
5/28/2020,4.45,4.45,4.29,4.31,4.31,1750400
5/29/2020,4.34,4.38,4.16,4.31,4.31,1887700
6/1/2020,4.3,4.5,4.24,4.47,4.47,1852000
6/2/2020,4.5,4.56,4.36,4.5,4.5,1853100
6/3/2020,4.5,4.62,4.43,4.45,4.45,1962700
6/4/2020,4.45,4.52,4.26,4.33,4.33,1872300
6/5/2020,4.36,4.49,4.32,4.49,4.49,1978900
6/8/2020,4.5,4.59,4.45,4.58,4.58,1722000
6/9/2020,4.55,4.67,4.47,4.57,4.57,1534300
6/10/2020,4.58,4.7,4.52,4.54,4.54,1892900
